title,source,date,url
Government by AI? Trump Admin Plans to Write Regulations Using Artificial Intelligence,Gizmodo.com,2026-01-26T15:35:21Z,https://gizmodo.com/government-by-ai-trump-admin-plans-to-write-regulations-using-artificial-intelligence-2000713978
AI-Powered Disinformation Swarms Are Coming for Democracy,Wired,2026-01-22T19:00:00Z,https://www.wired.com/story/ai-powered-disinformation-swarms-are-coming-for-democracy/
Games Workshop Rejects the Abominable Intelligence,Gizmodo.com,2026-01-13T16:00:41Z,https://gizmodo.com/games-workshop-ai-ban-warhammer-40k-2000709643
AI moves into the real world as companion robots and pets,The Verge,2026-01-06T19:01:38Z,https://www.theverge.com/news/856207/ces-2026-trend-ai-companion-robot-pet
These 8 big deals defined the year in artificial intelligence,Business Insider,2025-12-30T10:00:02Z,https://www.businessinsider.com/biggest-ai-deals-acquisitions-of-the-year-2025-12
"At CES 2026, Everything Is AI. What Matters Is How You Use It",Wired,2026-01-05T11:00:00Z,https://www.wired.com/story/ces-2026-what-to-expect/
Google Gemini’s ‘Personal Intelligence’ Pulls from Your Search and YouTube History,Gizmodo.com,2026-01-14T18:40:46Z,https://gizmodo.com/google-geminis-personal-intelligence-pulls-from-your-search-and-youtube-history-2000710312
The CEO of $2 billion AI training startup says that humans will stay involved in data creation for decades,Business Insider,2026-01-05T06:29:08Z,https://www.businessinsider.com/ai-training-ceo-artificial-data-humans-matt-fitzpatrick-invisible-technologies-2026-1
The AI Power List,Business Insider,2026-01-06T10:20:01Z,https://www.businessinsider.com/ai-power-list
Apple strikes deal with Google's Gemini to power Siri's AI capabilities,Business Insider,2026-01-12T16:32:48Z,https://www.businessinsider.com/apple-google-gemini-to-power-siri-ai-capabilities-2026-1
"The Top 3 Artificial Intelligence (AI) Chip Stocks to Buy With $50,000 in 2026",Yahoo Entertainment,2026-01-28T05:20:00Z,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_0e4e8993-9e35-4117-85de-8a03316f0b13
2 Artificial Intelligence Stocks to Buy in 2026 That Could Be Better Picks Than Nvidia,Yahoo Entertainment,2026-01-20T06:20:00Z,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_4f55ac72-7ce0-4ce3-a5ec-c185197b60e8
What Are the 2 Top Artificial Intelligence (AI) Stocks to Buy Right Now?,Yahoo Entertainment,2025-12-30T18:45:00Z,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_2d2c545e-4f09-46b7-988d-e5f54526651e
This Stock Is Quietly Becoming a Cornerstone of the Artificial Intelligence Boom,Yahoo Entertainment,2026-01-24T09:42:00Z,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_5127af59-a79d-4f19-ba0b-fcdc06c9dbee
Will 2026 Be the Year That the AI Industry Stops Crowing About ‘AGI’?,Gizmodo.com,2026-01-07T21:25:18Z,https://gizmodo.com/will-2026-be-the-year-that-the-ai-industry-stops-crowing-about-agi-2000707012
"To keep AI out of her classroom, this high school English teacher went analog",NPR,2026-01-28T10:00:00Z,https://www.npr.org/2026/01/28/nx-s1-5631779/ai-schools-teachers-students
Taiwan is reworking its ground forces. It could unlock new ways of fighting with new tech.,Business Insider,2026-01-27T14:18:01Z,https://www.businessinsider.com/taiwans-ground-forces-restructure-makes-using-new-weapons-easier-2026-1
British Police Used Microsoft Copilot for Faulty Report That Led to Ban on Soccer Team Fans,Gizmodo.com,2026-01-14T16:45:03Z,https://gizmodo.com/british-police-used-microsoft-copilot-for-faulty-report-that-led-to-ban-on-soccer-team-fans-2000710201
Are We Ready to Be Governed by Artificial Intelligence?,Merionwest.com,2025-12-29T15:59:54Z,https://www.merionwest.com/are-we-ready-to-be-governed-by-arti/
Snap is turning its smart glasses team into its own company,The Verge,2026-01-28T12:37:42Z,https://www.theverge.com/news/869210/snap-specs-smart-ar-glasses-new-subsidiary
OpenAI Partners with Major Government Contractor to ‘Transform Federal Operations’,Gizmodo.com,2026-01-24T21:30:42Z,https://gizmodo.com/openai-partners-with-major-government-contractor-to-transform-federal-operations-2000713751
Prediction: 3 Popular Stocks Will Crash in 2026 When This Stock Market Bubble Bursts (Hint: Not Artificial Intelligence),Yahoo Entertainment,2026-01-08T09:15:00Z,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_4d3e2ff0-3400-49ef-bce2-a8191a74483d
AI Luminaries Clash At Davos Over How Close Human-Level Intelligence Really Is,Slashdot.org,2026-01-24T19:34:00Z,https://slashdot.org/story/26/01/24/076228/ai-luminaries-clash-at-davos-over-how-close-human-level-intelligence-really-is
Apple Taps Google Gemini to Give Siri an AI Glow-Up,Gizmodo.com,2026-01-12T18:05:02Z,https://gizmodo.com/apple-taps-google-gemini-to-give-siri-an-ai-glow-up-2000709013
World models could unlock the next revolution in artificial intelligence,Scientific American,2026-01-17T12:00:00Z,https://www.scientificamerican.com/article/world-models-could-unlock-the-next-revolution-in-artificial-intelligence/
DeepSeek kicks off 2026 with paper signalling push to train bigger models for less,Yahoo Entertainment,2026-01-01T09:30:00Z,https://tech.yahoo.com/ai/articles/deepseek-kicks-off-2026-paper-093000536.html
Nvidia Partners With Eli Lilly on AI Drug Laboratory,Yahoo Entertainment,2026-01-12T15:27:43Z,https://finance.yahoo.com/video/nvidia-partners-eli-lilly-ai-152743875.html
"Musk's xAI curbs Grok image editing after California, Europe air concerns",Yahoo Entertainment,2026-01-15T11:26:57Z,https://finance.yahoo.com/video/musks-xai-curbs-grok-image-112657023.html
Microsoft CEO Nadella on How AI Can Change Workflows,Yahoo Entertainment,2026-01-20T10:37:27Z,https://finance.yahoo.com/video/microsoft-ceo-nadella-ai-change-103727613.html
ASML rides Nvidia's coattails with lasers and huge chip 'printers',Yahoo Entertainment,2026-01-27T06:01:45Z,https://finance.yahoo.com/news/asml-rides-nvidias-coattails-lasers-060145161.html
AI trade will fracture into winners & losers: Top stock picks,Yahoo Entertainment,2026-01-01T20:00:00Z,https://finance.yahoo.com/video/ai-trade-fracture-winners-losers-200000655.html
"China drafting purchase rules for Nvidia H200 chips, Nikkei Asia reports",Yahoo Entertainment,2026-01-15T03:21:24Z,https://finance.yahoo.com/news/china-drafting-purchase-rules-nvidia-032124261.html
"Nvidia H200 chip parts suppliers halt output after China blocks shipments, FT reports",Yahoo Entertainment,2026-01-17T01:41:43Z,https://finance.yahoo.com/news/nvidia-suppliers-halt-h200-output-014143078.html
China’s Xi hails nation's technological progress and renews promise to take back Taiwan,Yahoo Entertainment,2025-12-31T13:05:02Z,https://www.yahoo.com/news/articles/china-xi-hails-nations-technological-130502528.html
"The list of companies laying off staff this year includes Angi and Tailwind, with dozens of others warning of job cuts",Business Insider,2026-01-09T10:45:01Z,https://www.businessinsider.com/recent-company-layoffs-laying-off-workers-2026
Software Company Bonds Drop As Investors' AI Worries Mount,Slashdot.org,2026-01-29T00:02:00Z,https://tech.slashdot.org/story/26/01/28/2214257/software-company-bonds-drop-as-investors-ai-worries-mount
ICE Is Using Palantir’s AI Tools to Sort Through Tips,Wired,2026-01-28T21:40:18Z,https://www.wired.com/story/ice-is-using-palantirs-ai-tools-to-sort-through-tips/
"Prediction: This Will Be the Next Artificial Intelligence (AI) Chip Stock to Join Nvidia, Taiwan Semiconductor, and Broadcom in the Trillion-Dollar Club (Hint: It's Not AMD)",Yahoo Entertainment,2026-01-25T10:20:00Z,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_5b7fe903-0b80-4740-915a-a7b7e8b35079
"1 Unstoppable Artificial Intelligence (AI) Stock to Buy Before It Soars More Than 30% in 2026, According to a Wall Street Analyst",Yahoo Entertainment,2026-01-19T21:25:00Z,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_c345afd1-235d-4da5-9e7f-6eb8783fad2c
Utah Becomes First State to Let AI Prescribe Medication,Gizmodo.com,2026-01-07T15:51:18Z,https://gizmodo.com/utah-becomes-first-state-to-let-ai-prescribe-medication-2000706729
Anthropic CEO Worries Humanity May Not be ‘Mature’ Enough for Advanced AI,Gizmodo.com,2026-01-26T22:10:52Z,https://gizmodo.com/anthropic-ceo-worries-humanity-may-not-be-mature-enough-for-advanced-ai-2000714187
Apple Considered AI-Powered iPhone Home Screen,MacRumors,2026-01-26T15:53:02Z,https://www.macrumors.com/2026/01/26/apple-considered-ai-powered-iphone-home-screen/
The Problem With Letting AI Do the Grunt Work,The Atlantic,2025-12-30T11:00:00Z,https://www.theatlantic.com/ideas/2025/12/ai-entry-level-creative-jobs/685297/
How to Get Your Customers to Trust AI,Harvard Business Review,2026-01-22T14:00:00Z,https://hbr.org/2026/01/how-to-get-your-customers-to-trust-ai
"Notable new state laws taking effect in 2026 cover hotels, AI and climate",ABC News,2025-12-31T23:48:35Z,https://abcnews.go.com/Politics/notable-new-state-laws-taking-effect-2026-cover/story?id=128811522
AI disclosure in healthcare: What patients must know,Fox News,2026-01-02T12:02:37Z,https://www.foxnews.com/tech/ai-disclosure-healthcare-what-patients-must-know
Waypoint-1: Real-Time Interactive Video Diffusion from Overworld,Huggingface.co,2026-01-23T15:03:01Z,https://huggingface.co/blog/waypoint-1
Anthropic's president says the idea of AGI may already be outdated,Business Insider,2026-01-06T10:47:04Z,https://www.businessinsider.com/anthropic-president-idea-of-agi-may-already-be-outdated-2026-1
Artificial intelligence tools expand scientists’ impact but contract science’s focus,Nature.com,2026-01-14T00:00:00Z,https://www.nature.com/articles/s41586-025-09922-y
"Google co-founder reveals that ""many"" of the new hires do not have a degree",Yahoo Entertainment,2026-01-20T18:24:35Z,https://www.yahoo.com/news/articles/google-cofounder-reveals-tons-recent-231500103.html
"Europe Must Invest in Open Source AI or Cede To China, Schmidt Says",Slashdot.org,2026-01-20T16:44:00Z,https://slashdot.org/story/26/01/20/1620212/europe-must-invest-in-open-source-ai-or-cede-to-china-schmidt-says
Apple taps Google Gemini to power Apple Intelligence,Fox News,2026-01-22T13:25:32Z,https://www.foxnews.com/tech/apple-taps-google-gemini-power-apple-intelligence
20 Years of Make: Triumph of the Makers,Makezine.com,2025-12-29T18:26:56Z,https://makezine.com/article/maker-news/20-years-of-make-triumph-of-the-makers/
Stop Using AI to Unmask the ICE Agent Who Killed Renee Good,Gizmodo.com,2026-01-08T19:20:16Z,https://gizmodo.com/stop-using-ai-to-unmask-the-ice-agent-who-killed-renee-good-2000707575
Report: Apple's New AI Strategy Firms Up Under Craig Federighi,MacRumors,2026-01-22T14:53:43Z,https://www.macrumors.com/2026/01/22/new-apple-ai-strategy-firms-up/
AI Skills,The Next Web,2026-01-12T19:55:05Z,https://thenextweb.com/news/ai-skills
Bill Gates Warns of a Dark Trend In Depressing Annual Letter So Here’s a Little Deer Guy Absolutely Owning a Rhinoceros,Gizmodo.com,2026-01-10T19:17:28Z,https://gizmodo.com/bill-gates-warns-of-a-dark-trend-in-depressing-annual-letter-so-heres-a-little-deer-guy-absolutely-owning-a-rhinoceros-2000708412
California Could Get a 4-Year Ban on Toys With AI Chatbots,Gizmodo.com,2026-01-07T00:13:12Z,https://gizmodo.com/california-could-get-a-4-year-ban-on-toys-with-ai-chatbots-2000706416
"GenAI, the Snake Eating Its Own Tail",Ybrikman.com,2026-01-21T18:14:34Z,https://www.ybrikman.com/blog/2026/01/21/gen-ai-snake-eating-its-own-tail/
"MongoDB, AppLovin, and SoundHound AI Stocks Trade Down, What You Need To Know",Yahoo Entertainment,2025-12-29T20:00:43Z,https://finance.yahoo.com/news/mongodb-applovin-soundhound-ai-stocks-200043388.html
Chris Pratt on new film Mercy: I asked to be locked into an executioner's chair,BBC News,2026-01-20T00:37:41Z,https://www.bbc.com/news/articles/cy05drxx2nwo
The Doomsday Clock Jumps Closer to Midnight. AI Is a Big Reason Why,CNET,2026-01-27T22:44:26Z,https://www.cnet.com/tech/services-and-software/the-doomsday-clock-jumps-closer-to-midnight-ai-is-a-big-reason-why/
"Google and Character.AI Settle Suits Over Child Harm, Including Suicide, Linked to AI Chatbots",CNET,2026-01-08T17:36:14Z,https://www.cnet.com/tech/services-and-software/google-and-character-ai-settle-suits-over-child-harm-including-suicide-linked-to-ai-chatbots/
Cerebras Scores OpenAI Deal Worth Over $10 Billion,Slashdot.org,2026-01-15T00:45:00Z,https://slashdot.org/story/26/01/14/2253220/cerebras-scores-openai-deal-worth-over-10-billion
China’s Plans for Human-Like AI Could Set the Tone for Global AI Rules,Scientific American,2025-12-29T16:10:00Z,https://www.scientificamerican.com/article/chinas-plans-for-human-like-ai-could-set-the-tone-for-global-ai-rules/
Comic-Con Bans AI Art After Artist Pushback,Slashdot.org,2026-01-21T15:27:00Z,https://slashdot.org/story/26/01/21/1528206/comic-con-bans-ai-art-after-artist-pushback
'No Reasons To Own': Software Stocks Sink on Fear of New AI Tool,Slashdot.org,2026-01-22T14:00:00Z,https://tech.slashdot.org/story/26/01/22/0946226/no-reasons-to-own-software-stocks-sink-on-fear-of-new-ai-tool
Bosch’s fancy coffee machine is getting Alexa Plus,The Verge,2026-01-05T01:07:59Z,https://www.theverge.com/tech/853818/bosch-smart-coffee-machine-alexa-plus-upgrade
"In China, AI is no longer optional for some kids. It's part of the curriculum",NPR,2026-01-27T10:00:00Z,https://www.npr.org/2026/01/27/nx-s1-5683821/china-ai-schools-curriculum
"This is the key breakthrough AI still requires to reach superintelligence, according to those building it",Business Insider,2026-01-08T10:16:01Z,https://www.businessinsider.com/superintelligent-ai-memory-sam-altman-2026-1
A flexible digital compute-in-memory chip for edge intelligence,Nature.com,2026-01-28T00:00:00Z,https://www.nature.com/articles/s41586-025-09931-x
Nature-Inspired Computers Are Shockingly Good At Math,Slashdot.org,2026-01-11T02:34:00Z,https://science.slashdot.org/story/26/01/10/0628251/nature-inspired-computers-are-shockingly-good-at-math
Matthew McConaughey trademarks iconic phrase to stop AI misuse,BBC News,2026-01-15T18:34:41Z,https://www.bbc.com/news/articles/cp87z6vexl3o
Musk says X outcry is 'excuse for censorship',BBC News,2026-01-10T01:28:26Z,https://www.bbc.com/news/articles/ce3kqzepp5zo
How to Watch Nvidia's CES 2026 Keynote Live,CNET,2026-01-05T19:08:00Z,https://www.cnet.com/tech/computing/how-to-watch-nvidias-ces-2026-keynote-live/
"OpenAI will focus on 'practical adoption' of AI in 2026, CFO says",Business Insider,2026-01-19T22:31:29Z,https://www.businessinsider.com/openai-cfo-friar-2026-year-practical-adoption-ai-2026-1
AI is old news. Generative AI is the future.,The Next Web,2026-01-10T11:12:17Z,https://thenextweb.com/news/generative-ai-is-the-future
Inspecting claim Ukraine ran 'sting operation' providing false intelligence to US that was then leaked to Russia,Snopes.com,2026-01-20T00:27:00Z,https://www.snopes.com/news/2026/01/19/ukraine-intelligence-us-leaks-russia/
"NASA readies for Artemis II mission, AI-powered speech gives stroke patients hope, and researchers discover oldest cave art ever",Scientific American,2026-01-26T11:00:00Z,https://www.scientificamerican.com/podcast/episode/nasa-readies-for-artemis-ii-mission-ai-powered-speech-gives-stroke-patients/
"Global Tech-Sector Layoffs Surpass 244,000 In 2025",Slashdot.org,2026-01-14T00:02:00Z,https://tech.slashdot.org/story/26/01/13/2046204/global-tech-sector-layoffs-surpass-244000-in-2025
What AI is actually doing to jobs in Europe,The Next Web,2026-01-15T12:37:12Z,https://thenextweb.com/news/what-ai-is-actually-doing-to-jobs-in-europe
ChatGPT Glossary: 61 AI Terms Everyone Should Know,CNET,2026-01-02T08:05:45Z,https://www.cnet.com/tech/services-and-software/chatgpt-glossary/
"Elon Musk says going to medical school will be pointless in 3 years: ""Everyone will have access to medical care that is better than what the president receives right now.""",Windows Central,2026-01-14T12:20:00Z,https://www.windowscentral.com/artificial-intelligence/elon-musk-says-going-to-medical-school-will-be-pointless-in-3-years
Adobe and other SaaS stocks are taking a beating — as traditional software companies struggle in the AI era ,Windows Central,2026-01-19T16:57:24Z,https://www.windowscentral.com/microsoft/adobe-and-other-saas-stocks-taking-a-beating-as-traditional-software-companies-struggle-in-the-ai-era
Universal and Nvidia Promise New Partnership Is an “Antidote to AI Slop”,Pitchfork,2026-01-06T18:17:15Z,https://pitchfork.com/news/universal-and-nvidia-promise-new-partnership-is-an-antidote-to-ai-slop/
Tech war: China takes confident strides to develop more AI innovation in 2026,Yahoo Entertainment,2026-01-03T09:30:00Z,https://finance.yahoo.com/news/tech-war-china-takes-confident-093000206.html
Meet the Elon Musk lawyer who's also literally a clown,Business Insider,2026-01-01T11:12:01Z,https://www.businessinsider.com/elon-musk-lawyer-sam-altman-case-clown-lawyer-jaymie-parkkinen-2026-01
"Your AI Girlfriend Has a Body and Memory Now. Meet Emily, CES's Most Intimate Robot",CNET,2026-01-07T22:01:00Z,https://www.cnet.com/tech/services-and-software/ces-2026-emily-sex-robot-with-memory/
The 'Godfather of AI' says he's 'very sad' about what his life's work has become,Business Insider,2026-01-21T12:00:58Z,https://www.businessinsider.com/godfather-ai-geoffrey-hinton-on-ai-sad-dangerous-2026-1
Artificial Intelligence Mirrors Natural Intelligence,Psychology Today,2026-01-18T20:53:03Z,https://www.psychologytoday.com/us/blog/harnessing-hybrid-intelligence/202601/artificial-intelligence-mirrors-natural-intelligence
AGI? GPUs? Learn the definitions of the most common AI terms to enter our vocabulary,Business Insider,2026-01-18T09:14:01Z,https://www.businessinsider.com/ai-terms-definitions-vocabulary-2026
